ar_row_id,bg_row_id,el_row_id,fr_row_id,it_row_id,checks_passed
171,1048,1795,2397,2698,10
171,1048,1795,2397,2699,10
171,1048,1739,2397,2698,10
171,1048,1739,2397,2699,10
171,796,1241,2397,2698,10
171,796,1241,2397,2699,10
171,796,1795,2397,2698,10
171,796,1795,2397,2699,10
171,796,1796,2397,2698,10
171,796,1796,2397,2699,10
171,796,1739,2397,2698,10
171,796,1739,2397,2699,10
171,1050,1241,2397,2698,10
171,1050,1241,2397,2699,10
171,1050,1795,2397,2698,10
171,1050,1795,2397,2699,10
171,1050,1739,2397,2698,10
171,1050,1739,2397,2699,10
7,1048,1795,2397,2698,10
7,1048,1795,2397,2699,10
7,1048,1739,2397,2698,10
7,1048,1739,2397,2699,10
7,796,1241,2397,2698,10
7,796,1241,2397,2699,10
7,796,1795,2397,2698,10
7,796,1795,2397,2699,10
7,796,1796,2397,2698,10
7,796,1796,2397,2699,10
7,796,1739,2397,2698,10
7,796,1739,2397,2699,10
7,1050,1241,2397,2698,10
7,1050,1241,2397,2699,10
7,1050,1795,2397,2698,10
7,1050,1795,2397,2699,10
7,1050,1739,2397,2698,10
7,1050,1739,2397,2699,10
131,694,1962,2399,2630,10
131,694,1962,2399,2752,10
131,694,1962,2399,2618,10
131,694,1256,2399,2752,10
131,694,1256,2399,2618,10
131,694,1971,2399,2630,10
131,694,1971,2399,2752,10
131,694,1971,2399,2618,10
409,734,1531,2399,2618,10
409,734,1285,2399,2618,10
409,734,1238,2399,2618,10
409,734,1522,2399,2618,10
409,734,1671,2399,2618,10
409,691,1531,2399,2618,10
409,691,1238,2399,2618,10
409,870,1531,2399,2618,10
409,870,1285,2399,2618,10
409,870,1238,2399,2618,10
409,870,1522,2399,2618,10
409,870,1671,2399,2618,10
409,837,1971,2399,2752,10
409,837,1971,2399,2618,10
200,734,1531,2399,2618,10
200,734,1285,2399,2618,10
200,734,1238,2399,2618,10
200,734,1671,2399,2618,10
200,837,1962,2399,2752,10
200,837,1962,2399,2618,10
200,837,1971,2399,2752,10
200,837,1971,2399,2618,10
433,734,1531,2399,2618,10
433,734,1285,2399,2618,10
433,734,1238,2399,2618,10
433,734,1522,2399,2618,10
433,734,1778,2399,2618,10
433,734,1671,2399,2618,10
433,691,1531,2399,2618,10
433,691,1238,2399,2618,10
433,870,1531,2399,2618,10
433,870,1285,2399,2618,10
433,870,1238,2399,2618,10
433,870,1522,2399,2618,10
433,870,1671,2399,2618,10
125,734,1531,2399,2618,10
125,734,1285,2399,2618,10
125,734,1238,2399,2618,10
125,837,1962,2399,2752,10
125,837,1962,2399,2618,10
125,837,1971,2399,2752,10
125,837,1971,2399,2618,10
125,694,1962,2399,2630,10
125,694,1962,2399,2752,10
125,694,1962,2399,2618,10
125,694,1329,2399,2752,10
125,694,1329,2399,2618,10
125,694,1971,2399,2630,10
125,694,1971,2399,2752,10
125,694,1971,2399,2618,10
363,734,1238,2399,2618,10
287,691,1531,2399,2618,10
287,691,1238,2399,2618,10
287,628,1962,2399,2630,10
287,628,1962,2399,2752,10
287,628,1962,2399,2618,10
287,628,1531,2399,2630,10
287,628,1531,2399,2752,10
287,628,1531,2399,2618,10
287,628,1936,2399,2630,10
287,628,1936,2399,2752,10
287,628,1936,2399,2618,10
287,628,1256,2399,2752,10
287,628,1256,2399,2618,10
287,628,1238,2399,2630,10
287,628,1238,2399,2752,10
287,628,1238,2399,2618,10
287,628,1329,2399,2752,10
287,628,1329,2399,2618,10
287,628,1522,2399,2630,10
287,628,1522,2399,2752,10
287,628,1522,2399,2618,10
287,628,1971,2399,2630,10
287,628,1971,2399,2752,10
287,628,1971,2399,2618,10
287,837,1962,2399,2752,10
287,837,1962,2399,2618,10
287,837,1936,2399,2752,10
287,837,1936,2399,2618,10
287,837,1971,2399,2752,10
287,837,1971,2399,2618,10
287,694,1962,2399,2630,10
287,694,1962,2399,2752,10
287,694,1962,2399,2618,10
287,694,1256,2399,2752,10
287,694,1256,2399,2618,10
287,694,1329,2399,2752,10
287,694,1329,2399,2618,10
287,694,1971,2399,2630,10
287,694,1971,2399,2752,10
287,694,1971,2399,2618,10
193,734,1531,2399,2618,10
193,734,1285,2399,2618,10
193,734,1238,2399,2618,10
193,734,1778,2399,2618,10
193,734,1671,2399,2618,10
193,691,1531,2399,2618,10
193,691,1238,2399,2618,10
143,734,1531,2399,2618,10
143,734,1285,2399,2618,10
143,734,1238,2399,2618,10
143,734,1522,2399,2618,10
143,734,1778,2399,2618,10
143,734,1671,2399,2618,10
143,691,1531,2399,2618,10
